altezza,peso
1.69,96.4
0.73,41.5
1.75,72.3
1.75,109.7
1.49,64.5
1.89,104.9
1.88,53.0
1.4,59.4
1.57,58.3
1.8,55.5
1.67,53.8
1.6,98.3
1.22,29.4
1.68,60.3
1.51,45.3
1.07,42.6
1.65,95.0
1.58,67.2
1.73,65.5
1.59,73.2
1.72,84.8
1.63,109.2
1.77,70.5
1.97,114.7
1.76,112.1
1.6,87.0
1.55,60.2
1.7,81.5
1.96,96.9
1.68,110.1
1.61,108.1
1.78,90.4
1.73,119.0
1.98,72.9
1.6,51.1
1.7,68.1
1.93,67.6
1.64,95.8
1.52,66.4
1.49,25.2
1.83,89.7
1.99,80.5
1.56,76.7
1.52,45.3
1.7,81.4
1.98,50.8
1.51,67.8
1.7,74.8
1.46,75.4
1.54,51.4
1.85,67.2
1.66,97.2
1.77,83.7
1.3,48.6
1.33,25.4
1.67,75.1
0.98,18.4
1.51,103.0
1.57,58.6
1.21,31.6
1.85,104.9
1.92,93.6
1.78,65.1
1.68,81.0
1.73,81.8
1.66,56.2
1.99,70.4
1.81,109.8
1.68,48.0
1.72,57.4
1.89,117.2
1.55,64.0
1.59,119.1
1.77,90.3
1.99,117.1
1.46,46.1
1.84,56.7
1.49,71.7
1.73,90.1
1.59,68.3
1.51,60.8
1.26,40.2
1.52,50.1
1.71,73.7
1.61,112.2
1.98,70.4
1.76,91.0
1.66,83.6
1.58,93.1
1.59,74.5
1.78,44.1
1.9,109.2
1.69,51.0
1.95,55.2
1.63,104.6
1.72,55.5
1.66,72.7
1.62,80.0
1.75,76.3
1.83,92.0
1.86,88.3
1.97,116.0
1.73,69.9
1.73,83.7
1.7,80.1
1.84,100.3
1.85,60.6
0.92,33.9
1.61,76.4
1.66,64.7
1.93,87.5
1.75,102.5
1.48,54.8
1.71,42.6
1.91,71.6
1.63,99.4
1.02,19.9
1.58,53.7
1.37,30.7
1.66,76.0
1.56,53.1
1.86,59.4
1.94,54.6
1.82,112.9
1.72,119.2
1.51,53.5
1.67,87.6
1.76,60.2
0.97,21.1
2.0,63.8
1.72,50.0
